TextSize,ActionCount,Algorithm,AverageUndoTimeNs,AverageRedoTimeNs,AveragePush,AveragePop,AverageComparisons,AverageLoops,AverageMoves,AverageStoredData
100,100,Snapshot,5400.00,1440.00,2.00,2.00,0.00,0.00,2.00,20000.00
100,100,Command,13720.00,2240.00,2.00,2.00,0.00,0.00,2.00,100.00
100,1000,Snapshot,9300.00,2240.00,2.00,2.00,0.00,0.00,2.00,1100000.00
100,1000,Command,9320.00,1660.00,2.00,2.00,0.00,0.00,2.00,1000.00
100,10000,Snapshot,22700.00,6780.00,2.00,2.00,0.00,0.00,2.00,101000000.00
100,10000,Command,12900.00,1660.00,2.00,2.00,0.00,0.00,2.00,10000.00
1000,100,Snapshot,3080.00,980.00,2.00,2.00,0.00,0.00,2.00,110000.00
1000,100,Command,3980.00,219200.00,2.00,2.00,0.00,0.00,2.00,100.00
1000,1000,Snapshot,3500.00,1200.00,2.00,2.00,0.00,0.00,2.00,2000000.00
1000,1000,Command,6520.00,1000.00,2.00,2.00,0.00,0.00,2.00,1000.00
1000,10000,Snapshot,14340.00,4800.00,2.00,2.00,0.00,0.00,2.00,110000000.00
1000,10000,Command,6000.00,740.00,2.00,2.00,0.00,0.00,2.00,10000.00
10000,100,Snapshot,5940.00,3340.00,2.00,2.00,0.00,0.00,2.00,1010000.00
10000,100,Command,2280.00,700.00,2.00,2.00,0.00,0.00,2.00,100.00
10000,1000,Snapshot,15700.00,7020.00,2.00,2.00,0.00,0.00,2.00,11000000.00
10000,1000,Command,3120.00,820.00,2.00,2.00,0.00,0.00,2.00,1000.00
10000,10000,Snapshot,16240.00,5960.00,2.00,2.00,0.00,0.00,2.00,200000000.00
10000,10000,Command,12740.00,1560.00,2.00,2.00,0.00,0.00,2.00,10000.00
100000,100,Snapshot,51760.00,35420.00,2.00,2.00,0.00,0.00,2.00,10010000.00
100000,100,Command,4920.00,840.00,2.00,2.00,0.00,0.00,2.00,100.00
100000,1000,Snapshot,36520.00,26520.00,2.00,2.00,0.00,0.00,2.00,101000000.00
100000,1000,Command,2540.00,680.00,2.00,2.00,0.00,0.00,2.00,1000.00
100000,10000,Snapshot,38800.00,31060.00,2.00,2.00,0.00,0.00,2.00,1100000000.00
100000,10000,Command,3780.00,760.00,2.00,2.00,0.00,0.00,2.00,10000.00
